Date,Pilotcode,VehicleCode,StationCode,StartTime,EndTime,Distance,Total,,,,,,collection
14-06-2024,1116,2112,503,8:44:15,19:06:54,114.2,1234,,,,,,
14-06-2024,1375,2295,511,7:40:54,20:36:19,119.7,1248,,,,,,
14-06-2024,1227,2316,504,8:07:13,21:37:21,136.6,1306,,,,,,
14-06-2024,1265,2328,504,7:58:59,19:12:02,135.7,1601,,,,,,
14-06-2024,1681,2342,511,7:50:47,21:04:07,132.1,1453,,,,,,
14-06-2024,1055,2055,504,9:10:44,17:32:11,106.3,1138,,,,,,
14-06-2024,1108,2110,504,10:10:03,19:36:38,121.7,1339,,,,,,
14-06-2024,1150,2287,511,9:19:26,19:29:32,101.8,1062,,,,,,
14-06-2024,1685,2293,511,10:06:46,21:44:28,112.4,1236,,,,,,
14-06-2024,1112,2297,511,9:05:49,20:35:38,98.8,1087,,,,,,
14-06-2024,1181,2319,504,10:12:34,19:51:08,84.5,1000,,,,,,
14-06-2024,1226,2329,504,10:30:15,21:25:06,124.9,1225,,,,,,
14-06-2024,1236,2343,511,9:36:41,19:15:41,96.1,978,,,,,,
15-06-2024,1237,2307,504,6:55:16,19:49:57,115.5,1271,,,,,,
15-06-2024,1152,2349,504,7:13:01,21:10:36,142.8,1492,,,,,,
15-06-2024,1017,2023,504,8:19:22,18:54:53,139.2,1507,,,,,,
15-06-2024,1023,2026,503,9:01:47,17:48:02,111.4,1267,,,,,,
15-06-2024,1048,2044,504,7:48:48,16:52:57,106.5,1581,,,,,,
15-06-2024,1115,2054,503,8:23:38,17:44:40,105.3,1256,,,,,,
15-06-2024,1108,2110,504,8:21:46,19:28:04,113.4,1247,,,,,,
15-06-2024,1116,2112,503,8:36:52,18:29:52,110.7,1211,,,,,,
15-06-2024,1375,2295,511,8:28:02,20:35:58,120.6,1301,,,,,,
15-06-2024,1112,2297,511,8:51:17,19:03:39,112.2,1234,,,,,,
15-06-2024,1265,2328,504,8:34:57,20:12:48,147.2,1624,,,,,,
15-06-2024,1226,2329,504,7:57:21,18:30:08,137.1,1394,,,,,,
15-06-2024,1681,2342,511,8:28:19,19:35:19,104.9,1154,,,,,,
15-06-2024,1236,2343,511,8:54:19,19:13:11,100.8,1133,,,,,,
15-06-2024,1149,2355,504,8:07:36,20:49:29,142.6,1527,,,,,,
15-06-2024,1022,2016,503,10:03:26,17:41:24,94.3,1219,,,,,,
15-06-2024,1055,2055,504,9:45:51,22:03:05,162.4,2036,,,,,,
15-06-2024,1150,2287,511,9:12:26,19:25:14,119.1,1240,,,,,,
15-06-2024,1685,2293,511,9:50:30,20:15:04,122.8,1351,,,,,,
15-06-2024,1227,2316,504,9:56:50,20:45:31,123.5,1222,,,,,,
15-06-2024,1181,2319,504,9:09:20,20:16:42,104.6,1305,,,,,,
16-06-2024,1237,2307,504,6:11:03,19:01:40,109.5,1205,,,,,,
16-06-2024,1017,2023,504,8:31:55,16:39:35,90.7,1129,,,,,,
16-06-2024,1115,2054,503,8:21:51,18:36:40,120.8,1369,,,,,,
16-06-2024,1108,2110,504,7:52:44,17:38:36,98.7,1086,,,,,,
16-06-2024,1116,2112,503,8:29:08,17:31:42,96.7,1213,,,,,,
16-06-2024,1226,2329,504,7:39:29,22:06:21,107.1,1295,,,,,,
16-06-2024,1681,2342,511,7:55:32,21:14:53,140.1,1541,,,,,,
16-06-2024,1149,2355,504,7:47:38,18:58:10,148.8,1620,,,,,,
16-06-2024,1055,2055,504,11:04:47,22:00:01,137.5,1602,,,,,,
16-06-2024,1150,2287,511,9:27:14,19:02:00,102.6,1045,,,,,,
16-06-2024,1227,2316,504,9:31:46,20:01:43,137.2,1305,,,,,,
16-06-2024,1181,2319,504,10:10:45,19:38:32,88.2,1016,,,,,,
16-06-2024,1236,2343,511,10:02:14,18:46:29,83.5,840,,,,,,
17-06-2024,1152,2349,504,7:08:43,20:54:13,96.8,1060,,,,,,
17-06-2024,1017,2023,504,7:48:52,17:31:13,154.9,1597,,,,,,
17-06-2024,1115,2054,503,8:00:45,16:03:45,112.7,1252,,,,,,
17-06-2024,1116,2112,503,8:35:51,17:30:12,122.2,1289,,,,,,
17-06-2024,1375,2295,511,7:51:06,19:45:10,103.8,1172,,,,,,
17-06-2024,1112,2297,511,8:00:19,19:24:12,109.5,1204,,,,,,
17-06-2024,1226,2329,504,7:45:03,17:28:00,154.8,1474,,,,,,
17-06-2024,1681,2342,511,8:07:28,19:51:28,107.4,1181,,,,,,
17-06-2024,1149,2355,504,8:28:34,19:28:04,182.1,1817,,,,,,
17-06-2024,1181,2319,504,9:30:52,20:05:50,142.3,1231,,,,,,
18-06-2024,1226,2329,504,7:07:39,19:11:08,177.8,1767,,,,,,
18-06-2024,1152,2349,504,7:15:03,17:47:14,142.8,1407,,,,,,
18-06-2024,1022,2016,503,8:25:19,16:40:29,115.1,1241,,,,,,
18-06-2024,1017,2023,504,7:41:47,18:29:06,175.4,1706,,,,,,
18-06-2024,1023,2026,503,8:31:00,17:14:00,115.9,1227,,,,,,
18-06-2024,1115,2054,503,8:11:54,18:00:04,106.4,1232,,,,,,
18-06-2024,1108,2110,504,7:49:42,17:28:48,131.8,1450,,,,,,
18-06-2024,1116,2112,503,8:21:05,18:28:23,104.8,1211,,,,,,
18-06-2024,1685,2293,511,8:17:40,20:52:30,125.1,1376,,,,,,
18-06-2024,1375,2295,511,7:38:10,17:00:20,121.4,1004,,,,,,
18-06-2024,1149,2355,504,7:41:16,19:53:44,185.3,1871,,,,,,
18-06-2024,1055,2055,504,9:50:51,18:58:46,135.5,1523,,,,,,
18-06-2024,1112,2297,511,9:25:47,17:55:28,91.3,1004,,,,,,
18-06-2024,1227,2316,504,9:10:46,20:38:33,142.5,1519,,,,,,
18-06-2024,1181,2319,504,9:13:06,19:41:08,131.9,1526,,,,,,
18-06-2024,1236,2343,511,11:15:03,18:03:35,56.1,536,,,,,,
19-06-2024,1226,2329,504,7:13:10,18:13:10,155.7,1646,,,,,,
19-06-2024,1152,2349,504,7:07:26,19:54:18,150.3,1604,,,,,,
19-06-2024,1022,2016,503,8:22:36,17:46:32,110.8,1284,,,,,,
19-06-2024,1017,2023,504,8:39:07,17:25:42,114.6,1230,,,,,,
19-06-2024,1023,2026,503,8:34:39,17:56:33,106.7,1255,,,,,,
19-06-2024,1048,2044,504,7:45:40,17:20:50,134.4,1514,,,,,,
19-06-2024,1115,2054,503,8:09:20,17:49:43,98.5,1242,,,,,,
19-06-2024,1055,2055,504,8:26:02,21:12:30,165.8,1847,,,,,,
19-06-2024,1108,2110,504,8:19:07,18:29:31,131.7,1449,,,,,,
19-06-2024,1116,2112,503,8:15:52,19:11:45,95.2,1090,,,,,,
19-06-2024,1685,2293,511,8:05:13,21:05:27,117.5,1293,,,,,,
19-06-2024,1375,2295,511,7:41:57,19:32:22,100.1,802,,,,,,
19-06-2024,1112,2297,511,8:51:15,19:26:08,111.5,1226,,,,,,
19-06-2024,1227,2316,504,8:55:22,21:08:31,133.6,1442,,,,,,
19-06-2024,1681,2342,511,7:32:02,21:32:27,118.7,1306,,,,,,
19-06-2024,1149,2355,504,8:20:06,19:23:05,154.7,1613,,,,,,
19-06-2024,1237,2307,504,9:15:46,18:33:47,110.8,1219,,,,,,
19-06-2024,1181,2319,504,10:09:21,20:12:23,106.5,1232,,,,,,
19-06-2024,1236,2343,511,9:34:33,19:38:04,113.7,1181,,,,,,
20-06-2024,1055,2055,504,6:32:25,22:00:31,162.2,1718,,,,,,
20-06-2024,1685,2293,511,7:09:45,20:09:24,94.1,1035,,,,,,
20-06-2024,1265,2328,504,7:00:13,20:03:06,140.3,1728,,,,,,
20-06-2024,1226,2329,504,7:24:33,19:14:58,175.1,1680,,,,,,
20-06-2024,1152,2349,504,7:02:35,18:34:56,166.5,1699,,,,,,
20-06-2024,1022,2016,503,8:36:15,17:41:25,107.4,1219,,,,,,
20-06-2024,1017,2023,504,7:52:12,18:32:40,139.5,1484,,,,,,
20-06-2024,1023,2026,503,8:54:21,19:50:40,98.5,1201,,,,,,
20-06-2024,1048,2044,504,8:18:19,18:06:44,126.3,1424,,,,,,
20-06-2024,1115,2054,503,8:21:50,18:00:52,116.7,1257,,,,,,
20-06-2024,1108,2110,504,8:09:32,17:44:34,121.7,1331,,,,,,
20-06-2024,1116,2112,503,8:24:06,18:08:38,105.6,1100,,,,,,
20-06-2024,1150,2287,511,9:00:51,19:20:48,84.8,839,,,,,,
20-06-2024,1375,2295,511,8:29:09,19:45:20,47.3,624,,,,,,
20-06-2024,1112,2297,511,8:45:35,19:27:49,73.2,805,,,,,,
20-06-2024,1237,2307,504,8:24:37,19:53:44,111.1,1222,,,,,,
20-06-2024,1681,2342,511,8:29:34,19:52:54,71.1,782,,,,,,
20-06-2024,1149,2355,504,7:45:10,19:18:46,165.3,1688,,,,,,
20-06-2024,1227,2316,504,9:35:05,21:51:55,145.6,1501,,,,,,
20-06-2024,1236,2343,511,9:23:42,17:18:34,43.4,451,,,,,,
21-06-2024,1237,2307,504,6:26:05,19:07:19,138.6,1525,,,,,,
21-06-2024,1265,2328,504,7:10:05,20:43:29,145.1,1628,,,,,,
21-06-2024,1022,2016,503,8:36:34,18:03:26,90.5,1086,,,,,,
21-06-2024,1017,2023,504,8:08:35,18:52:43,149.2,1364,,,,,,
21-06-2024,1023,2026,503,8:22:08,17:27:36,115.8,1263,,,,,,
21-06-2024,1048,2044,504,7:52:39,17:44:43,130.7,1512,,,,,,
21-06-2024,1115,2054,503,8:25:58,18:13:59,99.6,1077,,,,,,
21-06-2024,1055,2055,504,7:38:05,21:57:03,188.4,2032,,,,,,
21-06-2024,1108,2110,504,8:12:50,18:49:56,109.1,1200,,,,,,
21-06-2024,1685,2293,511,8:06:54,19:42:27,127.1,1398,,,,,,
21-06-2024,1375,2295,511,8:08:22,19:46:31,90.7,943,,,,,,
21-06-2024,1681,2342,511,8:29:33,20:17:57,97.8,1067,,,,,,
21-06-2024,1152,2349,504,7:27:24,20:18:36,154.7,1634,,,,,,
21-06-2024,1149,2355,504,8:14:16,20:11:09,138.3,1415,,,,,,
21-06-2024,1150,2287,511,9:10:39,19:43:04,97.2,992,,,,,,
21-06-2024,1112,2297,511,9:11:28,20:19:13,109.3,1202,,,,,,
21-06-2024,1227,2316,504,9:12:17,21:47:28,112.6,1207,,,,,,
21-06-2024,1181,2319,504,9:19:33,18:38:04,103.6,1200,,,,,,
22-06-2024,1237,2307,504,6:38:30,21:16:24,129.7,1427,,,,,,
22-06-2024,1265,2328,504,6:36:53,19:59:53,133.8,1620,,,,,,
22-06-2024,1152,2349,504,7:03:20,17:33:42,141.2,1579,,,,,,
